full, 8, 21
3D, 8, 23
sphere, 8, 23
line, 8, 26
imp2D, 8, 23
full, 16, 51
3D, 16, 60
sphere, 16, 48
line, 16, 93
imp2D, 16, 56
full, 32, 157
3D, 32, 146
sphere, 32, 133
line, 32, 364
imp2D, 32, 139
full, 64, 339
3D, 64, 359
sphere, 64, 299
line, 64, 988
imp2D, 64, 359
full, 128, 646
3D, 128, 770
sphere, 128, 847
line, 128, 3166
imp2D, 128, 913
full, 256, 1492
3D, 256, 1856
rand2D, 256, 3020
sphere, 256, 1814
line, 256, 10152
imp2D, 256, 1757
full, 512, 4021
3D, 512, 3858
rand2D, 512, 5033
sphere, 512, 4717
line, 512, 40538
imp2D, 512, 3990
full, 1024, 12970
3D, 1024, 8596
rand2D, 1024, 8948
sphere, 1024, 9659
imp2D, 1024, 8473
full, 2048, 32892
3D, 2048, 19249
rand2D, 2048, 20903
sphere, 2048, 24412
imp2D, 2048, 17854
full, 4096, 74049
3D, 4096, 58991
rand2D, 4096, 63184
sphere, 4096, 84871
imp2D, 4096, 46485
3D, 8192, 286592
rand2D, 8192, 155547
sphere, 8192, 799960
imp2D, 8192, 250667
3D, 16384, 5185458
rand2D, 16384, 350931
sphere, 16384, 10105995
imp2D, 16384, 1600900
